2025-03-20 18:44:43,815 - INFO - SVDT1 Time: 31/08/2023 23:14:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.6, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 97, PM2.5: 0.6, PM10: 0.8, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:44,328 - INFO - SVDT1 Time: 31/08/2023 23:13:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.6, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 93, PM2.5: 0.9, PM10: 3.2, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:44,835 - INFO - SVDT1 Time: 31/08/2023 23:12:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.6, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 106, PM2.5: 0.6, PM10: 3.9, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:45,346 - INFO - SVDT1 Time: 31/08/2023 23:11:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.6, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 204, PM2.5: 0.6, PM10: 2.7, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:45,858 - INFO - SVDT1 Time: 31/08/2023 23:10:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.6, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 97, PM2.5: 0.5, PM10: 7.6, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:46,367 - INFO - SVDT1 Time: 31/08/2023 23:09:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.6, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 159, PM2.5: 0.6, PM10: 0.8, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:46,876 - INFO - SVDT1 Time: 31/08/2023 23:08:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.6, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 101, PM2.5: 0.4, PM10: 0.5, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:47,386 - INFO - SVDT1 Time: 31/08/2023 23:07:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.6, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 92, PM2.5: 0.5, PM10: 0.6, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:47,894 - INFO - SVDT1 Time: 31/08/2023 23:06:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.6, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 106, PM2.5: 0.9, PM10: 2.5, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:48,403 - INFO - SVDT1 Time: 31/08/2023 23:05:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.5, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 208, PM2.5: 0.4, PM10: 0.4, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:48,912 - INFO - SVDT1 Time: 31/08/2023 23:04:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.5, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 95, PM2.5: 0.4, PM10: 0.4, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:49,416 - INFO - SVDT1 Time: 31/08/2023 23:03:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.5, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 158, PM2.5: 0.4, PM10: 0.8, CO: 2, NOx: 0, SO2: 0
2025-03-20 18:44:49,925 - INFO - SVDT1 Time: 31/08/2023 23:02:00, Station: SVDT1, Temperature: 26.0, Moisture: 98.5, Light: 0, Total Rainfall: 3176.4, Rainfall: 0, Wind Direction: 83, PM2.5: 0.4, PM10: 1.5, CO: 2, NOx: 0, SO2: 0
